index,mode_id,field_0x04,field_0x08,field_0x0c,field_0x10,field_0x14,field_0x18,field_0x1c,field_0x20,field_0x24,field_0x28,field_0x2c,field_0x30,field_0x34,field_0x38,field_0x3c,field_0x40,field_0x44,field_0x48,field_0x4c,field_0x50,field_0x54,field_0x58,field_0x5c,field_0x60
0,0,6064,4042,0,0,6064,4042,0,0,6064,4042,6000,4000,32,21,1,20,1,1,1,1,2,0,30,16
1,97,6064,4042,0,0,6064,4042,0,0,6064,4042,6000,4000,32,21,0,40,1,1,1,1,2,0,30,17
2,98,3032,2012,0,0,3032,2012,0,0,3032,2012,3000,2000,16,6,0,78,2,2,2,2,2,0,40,18
3,3,6064,4042,0,0,6064,4042,0,0,6064,4042,0,0,0,0,0,30,1,1,1,1,2,0,70,17
4,121,6064,4042,0,0,6064,4042,0,0,6064,4042,0,0,0,0,0,25,1,1,1,1,2,0,70,17
5,6,4176,2174,0,0,4176,2174,0,0,4176,2174,0,0,0,0,1,30,1,1,1,1,1,1,50,16
6,122,4176,2174,0,0,4176,2174,0,0,4176,2174,0,0,0,0,1,25,1,1,1,1,1,1,50,16
7,95,5712,3216,0,0,5712,3216,0,0,5712,3216,0,0,0,0,1,24,1,1,1,1,1,1,14,16
8,100,4176,2174,0,0,4176,2174,0,0,3032,2174,0,0,0,0,1,24,1,1,1,1,1,1,50,16
9,7,6064,3412,0,0,6064,3412,0,0,6064,3412,0,0,0,0,0,30,1,1,1,1,1,0,70,17
10,123,6064,3412,0,0,6064,3412,0,0,6064,3412,0,0,0,0,0,25,1,1,1,1,1,0,70,17
11,102,4176,2174,0,0,4176,2174,0,0,4176,2174,0,0,0,0,0,30,1,1,1,1,1,1,70,17
12,124,4176,2174,0,0,4176,2174,0,0,4176,2174,0,0,0,0,0,25,1,1,1,1,1,1,70,17
13,101,6064,3412,0,0,6064,3412,0,0,6064,3412,0,0,0,0,0,24,1,1,1,1,1,0,70,17
14,108,4176,2174,0,0,4176,2174,0,0,4176,2174,0,0,0,0,0,24,1,1,1,1,1,1,70,17
15,27,3032,1708,0,0,3032,1708,0,0,3032,1708,0,0,0,0,0,60,2,2,2,2,1,0,70,18
16,115,3032,1708,0,0,3032,1708,0,0,3032,1708,0,0,0,0,0,50,2,2,2,2,1,0,70,18
