index,mode_id,reg_0x0001,reg_0x0003,reg_0x0005,reg_0x0016,reg_0x001c,reg_0x0022,reg_0x0023,reg_0x0024,reg_0x0025,reg_0x0042,reg_0x0043,reg_0x0056,reg_0x0057,reg_0x0058,reg_0x0062,reg_0x0067,reg_0x0068,reg_0x006a,reg_0x006f,reg_0x0070,reg_0x007e,reg_0x007f,reg_0x0081,reg_0x0083,reg_0x0084,reg_0x0085,reg_0x0086,reg_0x0089,reg_0x008a,reg_0x008c,reg_0x0094,reg_0x00c5,reg_0x00c6,reg_0x00ca,reg_0x0240,reg_0x0242,reg_0x0244,reg_0x0278,reg_0x0279,reg_0x027b,reg_0x0403,reg_0x041b,reg_0x0429,reg_0x042a,reg_0x042d,reg_0x0430,reg_0x0433,reg_0x0434,reg_0x0435,reg_0x0436,reg_0x0437,reg_0x0438,reg_0x0439,reg_0x043a,reg_0x043b,reg_0x043c,reg_0x043d,reg_0x043e,reg_0x0441,reg_0x0444,reg_0x044d,reg_0x0453,reg_0x0482,reg_0x0484,reg_0x0487,reg_0x0489,reg_0x048a,reg_0x048b,reg_0x04db,reg_0x04dc,reg_0x04de,reg_0x04df,reg_0x04e0,reg_0x04e1,reg_0x04e2,reg_0x04e4,reg_0x04e6,reg_0x04f1,reg_0x0505,reg_0x050a,reg_0x050d,reg_0x050f,reg_0x0511,reg_0x0516,reg_0x0517,reg_0x0518,reg_0x0519,reg_0x0520,reg_0x0521,reg_0x0522,reg_0x0523,reg_0x0524,reg_0x0525,reg_0x052e,reg_0x052f,reg_0x0530,reg_0x0531,reg_0x0532,reg_0x0569,reg_0x056c,reg_0x0571,reg_0x0575,reg_0x0576,reg_0x0577,reg_0x0578,reg_0x057a,reg_0x0583,reg_0x0584,reg_0x0585,reg_0x0590,reg_0x0591,reg_0x0592,reg_0x0593,reg_0x0594,reg_0x0595,reg_0x059a,reg_0x059b,reg_0x059c,reg_0x059d,reg_0x05d8,reg_0x06d0,reg_0x06d3,reg_0x06d6,reg_0x06d9,reg_0x0716,reg_0x0717,reg_0x071e,reg_0x0720,reg_0x0722,reg_0x0723,reg_0x0724,reg_0x0725,reg_0x0726,reg_0x0727,reg_0x0728,reg_0x0729,reg_0x072a,reg_0x072b,reg_0x072c,reg_0x0734,reg_0x0735,reg_0x0736,reg_0x0737,reg_0x0738,reg_0x0739,reg_0x073a,reg_0x078d,reg_0x0790,reg_0x0792,reg_0x0793,reg_0x0794,reg_0x0795,reg_0x0796,reg_0x0797,reg_0x0798,reg_0x079a,reg_0x079c,reg_0x079e,reg_0x079f,reg_0x08b6,reg_0x08b7
0,0,41,0,2,15,5,0,0,0,0,34,2,2,6,32,0,11,0,0,54,0,96,252,104,16,16,20,20,102,34,0,0,0,0,1,0,0,0,0,0,0,34,3,49,88,152,137,35,31,35,31,35,31,35,31,35,31,35,31,137,60,0,48,3,5,96,104,49,88,58,106,56,108,58,106,0,64,0,0,63,63,63,63,132,35,33,35,33,42,40,42,40,1,17,1,35,25,35,25,9,6,34,16,16,20,20,0,5,19,123,1,3,1,3,1,3,2,2,2,2,116,1,1,1,0,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
1,97,42,0,2,15,5,0,0,0,0,136,2,2,6,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
2,98,57,0,3,20,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
3,3,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
4,121,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
5,6,41,1,2,25,5,225,3,63,4,34,2,0,0,32,0,11,0,0,54,0,96,252,104,16,16,20,20,102,34,0,0,0,0,1,0,0,0,0,0,0,34,3,49,88,152,137,35,31,35,31,35,31,35,31,35,31,35,31,137,60,0,48,3,5,96,104,49,88,58,106,56,108,58,106,0,64,0,0,63,63,63,63,132,35,33,35,33,42,40,42,40,1,17,1,35,25,35,25,9,6,34,16,16,20,20,0,5,19,123,1,3,1,3,1,3,2,2,2,2,116,1,1,1,0,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
6,122,41,1,2,25,5,225,3,63,4,34,2,0,0,32,0,11,0,0,54,0,96,252,104,16,16,20,20,102,34,0,0,0,0,1,0,0,0,0,0,0,34,3,49,88,152,137,35,31,35,31,35,31,35,31,35,31,35,31,137,60,0,48,3,5,96,104,49,88,58,106,56,108,58,106,0,64,0,0,63,63,63,63,132,35,33,35,33,42,40,42,40,1,17,1,35,25,35,25,9,6,34,16,16,20,20,0,5,19,123,1,3,1,3,1,3,2,2,2,2,116,1,1,1,0,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
7,95,41,1,2,7,5,215,1,72,6,34,2,0,0,32,0,11,0,0,54,0,96,252,104,16,16,20,20,102,34,0,0,0,0,1,0,0,0,0,0,0,34,3,49,88,152,137,35,31,35,31,35,31,35,31,35,31,35,31,137,60,0,48,3,5,96,104,49,88,58,106,56,108,58,106,0,64,0,0,63,63,63,63,132,35,33,35,33,42,40,42,40,1,17,1,35,25,35,25,9,6,34,16,16,20,20,0,5,19,123,1,3,1,3,1,3,2,2,2,2,116,1,1,1,0,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
8,100,41,1,2,25,5,225,3,63,4,34,2,0,0,32,0,11,0,0,54,0,96,252,104,16,16,20,20,102,34,0,0,0,0,1,0,0,0,0,0,0,34,3,49,88,152,137,35,31,35,31,35,31,35,31,35,31,35,31,137,60,0,48,3,5,96,104,49,88,58,106,56,108,58,106,0,64,0,0,63,63,63,63,132,35,33,35,33,42,40,42,40,1,17,1,35,25,35,25,9,6,34,16,16,20,20,0,5,19,123,1,3,1,3,1,3,2,2,2,2,116,1,1,1,0,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
9,7,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
10,123,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
11,102,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
12,124,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
13,101,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
14,108,42,0,2,35,5,0,0,0,0,136,2,0,0,32,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,2,1,1,0,0,0,0,0,1,59,0,229,7,2,1,1,0,0,0,0,0,0,1,16,1,1,1,25,16,44,37,59,8,16,0,0
15,27,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
16,115,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
17,88,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
18,116,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
19,106,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
20,125,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
21,107,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
22,126,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
23,109,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
24,110,57,0,3,35,3,0,0,0,0,136,2,0,0,112,0,11,0,0,54,0,70,192,78,35,35,25,25,238,34,51,0,0,0,1,0,0,0,0,0,0,136,3,49,62,126,111,35,31,35,31,35,31,35,31,35,31,35,31,125,60,0,0,7,11,70,78,49,62,58,92,56,94,58,92,0,58,0,112,63,63,63,63,106,35,33,35,33,42,40,42,40,1,16,1,35,25,35,25,9,6,170,18,18,25,25,51,5,19,108,1,3,1,3,1,3,2,2,2,2,94,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
25,58,57,1,3,25,3,113,1,87,3,136,2,0,0,112,16,18,16,16,61,16,60,192,68,18,18,20,20,102,34,51,1,0,0,1,2,0,3,0,0,0,136,3,44,58,114,99,33,29,33,29,33,29,33,29,33,29,33,29,101,55,0,0,0,5,60,68,44,58,48,68,46,70,48,68,112,55,0,191,54,54,54,54,96,33,31,33,31,40,38,40,38,49,16,2,33,23,33,23,13,8,102,18,18,20,20,51,8,16,80,1,3,1,3,1,3,2,2,2,2,75,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
26,89,57,0,3,25,3,0,0,0,0,136,2,0,0,112,16,18,16,16,61,16,60,192,68,18,18,20,20,102,34,51,1,0,0,1,2,0,3,0,0,0,136,3,44,58,114,99,33,29,33,29,33,29,33,29,33,29,33,29,101,55,0,0,0,5,60,68,44,58,48,68,46,70,48,68,112,55,0,191,54,54,54,54,96,33,31,33,31,40,38,40,38,49,16,2,33,23,33,23,13,8,102,18,18,20,20,51,8,16,80,1,3,1,3,1,3,2,2,2,2,75,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
27,103,57,0,3,35,3,0,0,0,0,136,2,0,0,112,16,18,16,16,61,16,60,192,68,18,18,20,20,102,34,51,1,0,0,1,2,0,3,0,0,0,136,3,44,58,114,99,33,29,33,29,33,29,33,29,33,29,33,29,101,55,0,0,0,5,60,68,44,58,48,68,46,70,48,68,112,55,0,191,54,54,54,54,96,33,31,33,31,40,38,40,38,49,16,2,33,23,33,23,13,8,102,18,18,20,20,51,8,16,80,1,3,1,3,1,3,2,2,2,2,75,1,1,1,2,1,4,5,5,2,2,2,2,1,1,61,0,240,3,4,5,5,0,2,2,2,2,0,0,34,2,5,1,25,16,44,37,61,8,16,0,0
